latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,rcvr_clk_ns
46.11955699722223,7.021229636111111,1004.129,13.94083,71,2022,-803375.144
46.11955394722222,7.021231688888889,1004.3258,13.94111,71,2022,-803613.680
46.119550897222226,7.02123371388889,1004.6095,13.94139,71,2022,-803851.803
46.119548025,7.02123575,1004.8593,13.94167,71,2022,-804091.355
46.11954531388889,7.021237822222221,1005.0698,13.94194,71,2022,-804328.786
46.1195427138889,7.021239825,1005.2703,13.94222,71,2022,-804566.174
46.11954007777778,7.021241555555555,1005.3732,13.94250,71,2022,-804803.595
46.119537525000005,7.021243325000001,1005.5137,13.94278,71,2022,-805042.032
46.119534997222225,7.0212450055555555,1005.6523,13.94306,71,2022,-805279.370
46.11953255,7.02124661388889,1005.766,13.94333,71,2022,-805517.233
46.11953037500001,7.021248074999999,1005.8266,13.94361,71,2022,-805755.818
46.119527774999995,7.0212494888888894,1005.9578,13.94389,71,2022,-805994.260
46.11952505,7.021250941666667,1006.1352,13.94417,71,2022,-806232.534
46.119522575,7.021252347222222,1006.2694,13.94444,71,2022,-806473.156
46.11952010555556,7.021253783333333,1006.4703,13.94472,71,2022,-806710.306
46.11951767777778,7.021255088888888,1006.5746,13.94500,71,2022,-806945.818
46.11951523055556,7.021256411111111,1006.716,13.94528,71,2022,-807183.024
46.11951285833334,7.021257627777778,1006.7851,13.94556,71,2022,-807421.705
46.11951053333333,7.021258875,1006.8873,13.94583,71,2022,-807664.496
46.11950829166667,7.0212599694444435,1006.9766,13.94611,71,2022,-807902.474
46.119505927777794,7.021261013888889,1007.0696,13.94639,71,2022,-808138.195
46.11950363333333,7.021261824999999,1007.1173,13.94667,71,2022,-808375.138
46.119501352777775,7.021262602777778,1007.1364,13.94694,71,2022,-808612.390
46.11949909166667,7.021263463888889,1007.1708,13.94722,71,2022,-808853.377
46.11949671388889,7.0212643083333335,1007.2191,13.94750,71,2022,-809092.968
46.11949442777779,7.021265113888888,1007.2554,13.94778,71,2022,-809330.206
46.119492013888895,7.0212658333333335,1007.3052,13.94806,71,2022,-809568.318
46.1194896,7.021266655555555,1007.3582,13.94833,71,2022,-809806.487
46.11950496944444,7.0212381,1003.3399,13.95167,71,2022,-890121.631
46.119501641666666,7.021207927777778,999.0974,13.95194,71,2022,-890490.175
46.11949006666666,7.0211764,996.2153,13.95222,71,2022,-890689.821
46.119478275,7.02114503611111,993.4028,13.95250,71,2022,-890934.198
46.119466675,7.021113952777777,990.5889,13.95278,71,2022,-891178.418
46.119455119444446,7.021083283333334,987.8346,13.95306,71,2022,-891427.702
46.119443583333336,7.021052916666666,985.1362,13.95333,71,2022,-891674.625
46.11943205833333,7.021023036111111,982.4957,13.95361,71,2022,-891923.238
46.11942068055556,7.020993527777778,979.8997,13.95389,71,2022,-892168.319
46.119409375000004,7.020964386111112,977.3448,13.95417,71,2022,-892413.491
46.119398191666676,7.020935536111111,974.8254,13.95444,71,2022,-892656.274
46.119397075,7.020937547222222,974.9922,13.95500,71,2022,-893078.655
46.11939600555556,7.020939388888888,975.1425,13.95528,71,2022,-893315.424
46.11939533333334,7.020941216666666,975.3028,13.95556,71,2022,-893552.428
46.11939433055556,7.020942894444445,975.418,13.95583,71,2022,-893794.888
46.119393425,7.020944416666667,975.5185,13.95611,71,2022,-894033.667
46.11939256388889,7.02094585,975.6102,13.95639,71,2022,-894272.068
46.119391702777776,7.020947124999999,975.7061,13.95667,71,2022,-894510.855
46.11939115277778,7.020948280555555,975.813,13.95694,71,2022,-894746.990
46.119390272222226,7.020949083333333,975.9071,13.95722,71,2022,-894987.196
46.11938968055556,7.020949866666666,976.0226,13.95750,71,2022,-895226.487
46.11938924166667,7.020950433333334,976.0974,13.95778,71,2022,-895464.390
46.11938873611111,7.020950844444444,976.1695,13.95806,71,2022,-895701.818
46.119388255555556,7.020951133333332,976.2437,13.95833,71,2022,-895942.218
46.11938781944445,7.020951338888889,976.3103,13.95861,71,2022,-896179.752
46.11938739722222,7.020951533333334,976.3794,13.95889,71,2022,-896419.566
46.1193870138889,7.0209514888888895,976.4293,13.95917,71,2022,-896658.389
46.11938665277778,7.020951458333334,976.4752,13.95944,71,2022,-896896.164
46.119386286111116,7.0209513194444435,976.5183,13.95972,71,2022,-897135.725
46.119385961111114,7.020951097222222,976.5505,13.96000,71,2022,-897375.033
46.11938567222222,7.020950724999999,976.5715,13.96028,71,2022,-897614.510
46.119385375,7.020950094444444,976.5857,13.96056,71,2022,-897854.129
46.119385683333334,7.020949477777778,976.5965,13.96083,71,2022,-898090.308
46.11938575833334,7.020948749999999,976.6242,13.96111,71,2022,-898329.671
46.119385925,7.020947855555556,976.6256,13.96139,71,2022,-898567.894
46.11938575833334,7.020946808333332,976.6116,13.96167,71,2022,-898811.302
46.11938585,7.020945605555555,976.6379,13.96194,71,2022,-899044.065
46.119385147222225,7.020944094444444,976.6525,13.96222,71,2022,-899285.386
